Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
SARVEPALLI,YSRCP,7,220000000.0,0,ANDHRA PRADESH,Post Graduate
UDHNA,BJP,0,60000000.0,2 Lac+,GUJARAT,8th Pass
RAJULA,BJP,1,530000000.0,5 Crore+,GUJARAT,10th Pass
DISPUR,BJP,1,20000000.0,9 Lac+,ASSAM,Graduate
JORHAT,BJP,0,10000000.0,7 Lac+,ASSAM,Post Graduate
BODH GAYA (SC),RJD,1,60000000.0,11 Lac+,BIHAR,Graduate Professional
URAN,IND,2,330000000.0,10 Crore+,MAHARASHTRA,12th Pass
NANDAKUMAR,AITC,0,0.0,0,WEST BENGAL,Graduate
MUVATTUPUZHA,INC,3,340000000.0,33 Lac+,KERALA,Doctorate
GUDUR,YSRCP,0,0.0,1 Crore+,ANDHRA PRADESH,Doctorate
NACHAN (SC),BJP,0,20000000.0,27 Lac+,HIMACHAL PRADESH,12th Pass
THANGA,BJP,4,3800000.0,4 Lac+,MANIPUR,12th Pass
TIRTOL,BJD,1,20000000.0,70 Lac+,ODISHA,Graduate Professional
ALDONA,INC,0,210000000.0,12 Lac+,GOA,Graduate Professional
JATARA (SC),BJP,0,20000000.0,6 Lac+,MADHYA PRADESH,Others
KARAIKUDI,INC,9,50000000.0,3 Crore+,TAMIL NADU,Graduate
SHIVAJINAGAR,BJP,1,80000000.0,1 Crore+,MAHARASHTRA,Graduate Professional
SRINAGAR,BJP,0,20000000.0,0,UTTARAKHAND,Doctorate
KOLLAM,CPI(M),1,0.0,82 Thou+,KERALA,Graduate
KALYAN EAST,BJP,18,630000000.0,3 Crore+,MAHARASHTRA,5th Pass
OUSSUDU (SC),BJP,5,30000000.0,2 Crore+,PUDUCHERRY,Graduate
MAPUSA,BJP,0,40000000.0,32 Lac+,GOA,Graduate
KALAPET,BJP,8,50000000.0,3 Crore+,PUDUCHERRY,8th Pass
SURAT WEST,BJP,0,10000000.0,34 Lac+,GUJARAT,Graduate Professional
BEHALA PASCHIM,AITC,0,10000000.0,0,WEST BENGAL,Doctorate
PERAVURANI,DMK,0,60000000.0,2 Crore+,TAMIL NADU,10th Pass
TARAIYA,BJP,6,60000000.0,29 Lac+,BIHAR,Graduate
MANJHANPUR (SC),SP,1,140000000.0,2 Crore+,UTTAR PRADESH,Graduate
YAVATMAL,BJP,1,90000000.0,1 Crore+,MAHARASHTRA,Others
LAHARPUR,SP,2,20000000.0,45 Lac+,UTTAR PRADESH,Graduate
JUBARAJNAGAR,CPI(M),0,20000000.0,22 Lac+,TRIPURA,Graduate
NAGINA (SC),SP,4,40000000.0,27 Lac+,UTTAR PRADESH,12th Pass
CHHINDWARA,INC,2,0.0,12 Lac+,MADHYA PRADESH,Graduate
BUDGE BUDGE,AITC,1,2300000.0,0,WEST BENGAL,Graduate Professional
MAUGANJ,BJP,0,10000000.0,0,MADHYA PRADESH,Graduate
CHITRAKOOT,SP,2,30000.0,47 Thou+,UTTAR PRADESH,Graduate
KOLHAPUR SOUTH,INC,0,340000000.0,17 Crore+,MAHARASHTRA,12th Pass
PENUKONDA,YSRCP,6,190000000.0,34 Lac+,ANDHRA PRADESH,Graduate Professional
WANGKHEM,INC,1,70000000.0,56 Lac+,MANIPUR,Post Graduate
UJJAIN UTTAR,BJP,0,60000000.0,26 Lac+,MADHYA PRADESH,Post Graduate
CHHATRAPUR,BJD,0,30000000.0,10 Lac+,ODISHA,Post Graduate
GARHSHANKAR,AAP,4,10000000.0,22 Lac+,PUNJAB,12th Pass
ARJUNI MORGAON (SC),NCP,0,0.0,1 Crore+,MAHARASHTRA,Graduate
JAGGAYYAPETA,YSRCP,18,170000000.0,2 Crore+,ANDHRA PRADESH,Graduate
VIJAYRAGHAVGARH,BJP,1,2420000000.0,19 Crore+,MADHYA PRADESH,Post Graduate
MEDINIPUR,AITC,0,30000000.0,0,WEST BENGAL,12th Pass
TURUVEKERE,JD(S),8,20000000.0,1 Lac+,KARNATAKA,Graduate
NAGPUR WEST,INC,25,0.0,1 Crore+,MAHARASHTRA,Graduate
BARAN ATRU (SC),BJP,0,4900000.0,5 Lac+,RAJASTHAN,10th Pass
SRUNGAVARAPUKOTA,YSRCP,0,50000000.0,0,ANDHRA PRADESH,Post Graduate
MADDUR,INC,3,1020000000.0,3 Crore+,KARNATAKA,10th Pass
BALASORE,BJP,3,300000.0,3 Lac+,ODISHA,8th Pass
ALIBAG,SHS,3,320000000.0,3 Crore+,MAHARASHTRA,8th Pass
ASHTI,NCP,0,10000000.0,90 Thou+,MAHARASHTRA,12th Pass
BILHAUR (SC),BJP,3,8500000.0,0,UTTAR PRADESH,Graduate Professional
NANDIGAMA,YSRCP,5,20000000.0,71 Lac+,ANDHRA PRADESH,Post Graduate
WANGJING TENTHA,BJP,0,50000000.0,43 Lac+,MANIPUR,Graduate
RUPOHIHAT,INC,0,20000000.0,49 Lac+,ASSAM,10th Pass
REMUNA,BJD,0,20000000.0,48 Lac+,ODISHA,Graduate
KATRA,BJP,0,10000000.0,0,UTTAR PRADESH,Post Graduate
NABARANGPUR,BJD,0,20000000.0,3 Lac+,ODISHA,Post Graduate
ANNI (SC),BJP,10,2900000.0,45 Thou+,HIMACHAL PRADESH,Post Graduate
PADAMPUR : BYE ELECTION ON 5-12-2022,BJD,0,10000000.0,0,ODISHA,Graduate Professional
KOLORIANG,BJP,2,110000000.0,3 Crore+,ARUNACHAL PRADESH,10th Pass
HARDOI,BJP,0,310000000.0,3 Crore+,UTTAR PRADESH,Post Graduate
KARUNAGAPPALLY,INC,9,1900000.0,30 Lac+,KERALA,Graduate
HAROA,AITC,0,10000000.0,0,WEST BENGAL,12th Pass
DHAMDAHA,JD(U),0,20000000.0,61 Lac+,BIHAR,12th Pass
THIRUVAUR,DMK,49,30000000.0,9 Lac+,TAMIL NADU,12th Pass
ABHANPUR,BJP,0,10000000.0,0,CHHATTISGARH,Graduate
BALODA BAZAR,BJP,0,20000000.0,0,CHHATTISGARH,Post Graduate
SAHASPUR,BJP,0,30000000.0,26 Lac+,UTTARAKHAND,Graduate
KARONG (ST),IND,0,600000.0,0,MANIPUR,Graduate
ROBERTSGANJ,BJP,2,10000000.0,29 Lac+,UTTAR PRADESH,Graduate
MAKRANA,INC,0,10000000.0,7 Lac+,RAJASTHAN,12th Pass
AMTA,AITC,0,1900000.0,0,WEST BENGAL,Post Graduate
HUBLI-DHARWAD-WEST,BJP,0,1060000000.0,14 Crore+,KARNATAKA,Graduate Professional
PAYAL (SC),AAP,2,9500000.0,36 Lac+,PUNJAB,Post Graduate
VIRAJPET,INC,0,300000000.0,4 Crore+,KARNATAKA,Graduate Professional
SIMRI BAKHTIARPUR,RJD,1,130000000.0,0,BIHAR,Graduate
MUNGER,BJP,0,5300000.0,3 Lac+,BIHAR,Graduate
PANVEL,BJP,2,1830000000.0,3 Crore+,MAHARASHTRA,12th Pass
BARJALA (SC),CPI(M),0,5700000.0,0,TRIPURA,10th Pass
SATARA,BJP,5,620000000.0,10 Crore+,MAHARASHTRA,12th Pass
NAMTHANG-RATEYPANI,Sikkim Krantikari Morcha,0,40000000.0,3 Lac+,SIKKIM,Graduate
TULI (ST),BJP,1,40000000.0,0,NAGALAND,Graduate
DOMBIVALI,BJP,3,90000000.0,2 Crore+,MAHARASHTRA,12th Pass
KHANDAR (SC),BJP,2,0.0,0,RAJASTHAN,Graduate
JAGDISHPUR (SC),BJP,0,0.0,12 Lac+,UTTAR PRADESH,12th Pass
NATHNAGAR,RJD,0,40000000.0,0,BIHAR,Graduate
UTTARPARA,AITC,0,10000000.0,1 Lac+,WEST BENGAL,Graduate
DHARAPURAM (SC),DMK,0,40000000.0,0,TAMIL NADU,Post Graduate
BHANDARA (SC),IND,4,30000000.0,2 Crore+,MAHARASHTRA,Graduate
KHEDBRAHMA (ST),INC,0,70000000.0,3 Lac+,GUJARAT,Graduate Professional
EGMORE (SC),DMK,0,10000000.0,0,TAMIL NADU,Graduate Professional
GANGADHARA NELLORE,YSRCP,0,10000000.0,1 Lac+,ANDHRA PRADESH,Graduate
NATHDWARA,BJP,0,0.0,0,RAJASTHAN,Graduate
PRANTIJ,BJP,0,10000000.0,0,GUJARAT,Graduate
DEHRADUN CANTONMENT,BJP,0,10000000.0,39 Lac+,UTTARAKHAND,12th Pass
GOHANA,INC,0,50000000.0,27 Lac+,HARYANA,Graduate Professional
KUSHINAGAR,BJP,0,20000000.0,0,UTTAR PRADESH,Graduate
BADNAGAR,BJP,0,20000000.0,3 Lac+,MADHYA PRADESH,12th Pass
FARIDPUR (SC),BJP,4,50000000.0,74 Lac+,UTTAR PRADESH,Doctorate
RATLAM CITY,BJP,0,2960000000.0,20 Crore+,MADHYA PRADESH,12th Pass
SULLURPETA,YSRCP,0,60000000.0,1 Crore+,ANDHRA PRADESH,Graduate Professional
FATEHGARH SAHIB,AAP,0,120000000.0,79 Lac+,PUNJAB,Graduate Professional
NAWAPUR (ST),INC,0,0.0,30 Lac+,MAHARASHTRA,Graduate
SANKHEDA (ST),BJP,0,40000000.0,51 Lac+,GUJARAT,10th Pass
RAGHUNATHPUR (SC),BJP,0,2000000.0,0,WEST BENGAL,Graduate Professional
GADARWARA,BJP,1,220000000.0,1 Crore+,MADHYA PRADESH,Graduate
KESHKAL (ST),BJP,0,10000000.0,16 Lac+,CHHATTISGARH,Post Graduate
FATEHPUR SIKRI,BJP,7,60000000.0,9 Lac+,UTTAR PRADESH,10th Pass
MORWA,RJD,0,20000000.0,6 Lac+,BIHAR,Graduate
MADHURAVOYAL,DMK,0,8500000.0,0,TAMIL NADU,8th Pass
AMBALAPUZHA,CPI(M),7,4000000.0,1 Lac+,KERALA,12th Pass
JAGESHWAR,BJP,0,10000000.0,0,UTTARAKHAND,10th Pass
MARIGAON,BJP,2,30000000.0,15 Lac+,ASSAM,10th Pass
SIKRAI (SC),BJP,0,120000000.0,15 Lac+,RAJASTHAN,Graduate
SADIYA,BJP,0,20000000.0,41 Lac+,ASSAM,12th Pass
KHED ALANDI,NCP,7,120000000.0,31 Lac+,MAHARASHTRA,10th Pass
PIPILI,BJD,5,60000000.0,13 Lac+,ODISHA,Graduate
TOWN BARDOWALI,BJP,0,0.0,13 Lac+,TRIPURA,Post Graduate
SIRAGUPPA (ST),INC,0,90000000.0,0,KARNATAKA,8th Pass
RAJA SANSI,INC,1,110000000.0,4 Crore+,PUNJAB,Graduate
BARKHETRY,INC,0,50000000.0,19 Lac+,ASSAM,Graduate
WADALA,BJP,0,50000000.0,40 Lac+,MAHARASHTRA,10th Pass
KARIMGANJ SOUTH,INC,7,260000000.0,12 Lac+,ASSAM,10th Pass
PEDANA,YSRCP,16,9000000.0,0,ANDHRA PRADESH,Graduate
MUSIRI,DMK,24,6700000.0,10 Lac+,TAMIL NADU,Post Graduate
BARHARA,BJP,4,20000000.0,0,BIHAR,10th Pass
KODUR,YSRCP,0,10000000.0,2 Lac+,ANDHRA PRADESH,Post Graduate
BALAPUR,SHS,5,10000000.0,33 Thou+,MAHARASHTRA,12th Pass
KHANNA,AAP,1,40000000.0,19 Lac+,PUNJAB,12th Pass
BHILODA (ST),BJP,0,0.0,0,GUJARAT,Graduate
SIKTI,BJP,1,10000000.0,0,BIHAR,10th Pass
UMARKHED (SC),BJP,0,8300000.0,0,MAHARASHTRA,Post Graduate
MADHYAMGRAM,AITC,0,5500000.0,4 Lac+,WEST BENGAL,12th Pass
SOHAGPUR,BJP,0,20000000.0,84 Lac+,MADHYA PRADESH,Post Graduate
NIWARI,BJP,0,40000000.0,90 Lac+,MADHYA PRADESH,Literate
NARODA,BJP,0,10000000.0,46 Lac+,GUJARAT,Graduate Professional
GULBARGA UTTAR,INC,0,180000000.0,8 Lac+,KARNATAKA,12th Pass
KRISHNAGANJ (SC),BJP,1,8600000.0,0,WEST BENGAL,12th Pass
HIREKERUR,INC,0,50000000.0,8 Lac+,KARNATAKA,Graduate Professional
OINAM,NPP,0,20000000.0,0,MANIPUR,Graduate
CHANDABALI,BJD,0,20000000.0,0,ODISHA,Post Graduate
LAKHIMPUR,BJP,0,40000000.0,11 Lac+,UTTAR PRADESH,Post Graduate
PATIYALI,SP,0,0.0,3 Lac+,UTTAR PRADESH,12th Pass
BANGALORE SOUTH,BJP,0,890000000.0,20 Crore+,KARNATAKA,10th Pass
BHUCHO MANDI (SC),AAP,1,5500000.0,3 Lac+,PUNJAB,Others
RAICHUR RURAL (ST),INC,1,100000000.0,87 Lac+,KARNATAKA,12th Pass
VAMANAPURAM,CPI(M),4,10000000.0,0,KERALA,Graduate Professional
PORBANDAR,INC,1,30000000.0,7 Lac+,GUJARAT,Graduate Professional
RAJNAGAR (SC),BJP,0,100000.0,0,TRIPURA,Graduate
MUKTO,BJP,0,1630000000.0,0,ARUNACHAL PRADESH,Graduate
INDORA (SC),INC,0,10000000.0,0,HIMACHAL PRADESH,Graduate Professional
SIHAWA (ST),INC,0,10000000.0,13 Lac+,CHHATTISGARH,Post Graduate
NANNILAM,AIADMK,1,30000000.0,0,TAMIL NADU,Post Graduate
BHATTIYAT,INC,1,80000000.0,15 Lac+,HIMACHAL PRADESH,Graduate Professional
KUKSHI (ST),INC,1,40000000.0,2 Crore+,MADHYA PRADESH,Graduate
ANEKAL (SC),INC,1,350000000.0,3 Crore+,KARNATAKA,Post Graduate
VENKATAGIRI,YSRCP,1,180000000.0,1 Crore+,ANDHRA PRADESH,Graduate Professional
MAHAKALAPADA,BJD,0,10000000.0,18 Lac+,ODISHA,Graduate Professional
RADAUR,INC,0,40000000.0,72 Lac+,HARYANA,Graduate Professional
THONDAMUTHUR,AIADMK,0,50000000.0,0,TAMIL NADU,Post Graduate
JALE,BJP,5,30000000.0,72 Lac+,BIHAR,Post Graduate
ASHTA (SC),BJP,1,0.0,51 Lac+,MADHYA PRADESH,Graduate
RAJGANGPUR,INC,0,9700000.0,3 Lac+,ODISHA,Graduate Professional
TUENSANG SADAR-I (ST),BJP,0,20000000.0,0,NAGALAND,12th Pass
PATTIKONDA,YSRCP,0,30000000.0,44 Lac+,ANDHRA PRADESH,12th Pass
NIGHASAN,BJP,0,0.0,5 Lac+,UTTAR PRADESH,Post Graduate
BHOJPUR,BJP,0,0.0,6 Lac+,UTTAR PRADESH,Graduate
KHUNTI (ST),BJP,0,40000000.0,87 Lac+,JHARKHAND,Graduate
LAHOWAL,BJP,0,9400000.0,27 Lac+,ASSAM,12th Pass
TINSUKIA,BJP,0,5500000.0,7 Lac+,ASSAM,10th Pass
MUNGRA BADSHAHPUR,SP,0,2200000.0,0,UTTAR PRADESH,Graduate Professional
KANTH,SP,0,0.0,2 Crore+,UTTAR PRADESH,Graduate Professional
GHATKOPAR EAST,BJP,0,5000000000.0,0,MAHARASHTRA,Graduate
DEVANAHALLI (SC),INC,1,0.0,27 Crore+,KARNATAKA,Graduate Professional
SOLAPUR CITY CENTRAL,INC,5,40000000.0,0,MAHARASHTRA,Graduate Professional
IDAR (SC),BJP,0,20000000.0,15 Lac+,GUJARAT,Graduate
NALAGARH,IND,0,20000000.0,1 Crore+,HIMACHAL PRADESH,Graduate Professional
GOPIBALLAVPUR,AITC,0,8800000.0,8 Lac+,WEST BENGAL,Graduate Professional
PADAMPUR,BJD,4,40000000.0,37 Lac+,ODISHA,Post Graduate
SRI NAINA DEVIJI,BJP,0,50000000.0,12 Lac+,HIMACHAL PRADESH,Post Graduate
BASAR,NPP,1,10000000.0,19 Lac+,ARUNACHAL PRADESH,Graduate
SRIKALAHASTI,YSRCP,4,10000000.0,0,ANDHRA PRADESH,12th Pass
NOAPARA,AITC,0,9800000.0,0,WEST BENGAL,Graduate Professional
SAGAR,BJP,0,150000000.0,2 Crore+,MADHYA PRADESH,Graduate
ASIND,BJP,0,0.0,8 Lac+,RAJASTHAN,Literate
RAMPUR KARKHANA,BJP,2,3900000.0,7 Lac+,UTTAR PRADESH,12th Pass
SITAI (SC),AITC,1,10000000.0,0,WEST BENGAL,Graduate Professional
SHUTRANA (SC),AAP,0,1800000.0,0,PUNJAB,10th Pass
MAEM,BJP,0,40000000.0,1 Crore+,GOA,Graduate
JHARIGAM,BJD,0,10000000.0,6 Lac+,ODISHA,Post Graduate
KEOLARI,INC,0,340000000.0,2 Crore+,MADHYA PRADESH,12th Pass
MAJLISHPUR,BJP,1,7500000.0,16 Lac+,TRIPURA,Graduate Professional
SAHARSA,BJP,1,40000000.0,65 Lac+,BIHAR,Doctorate
MUDIGERE (SC),INC,0,100000000.0,3 Crore+,KARNATAKA,Post Graduate
VIJAPUR,INC,1,150000000.0,4 Crore+,GUJARAT,Graduate Professional
NAJAFGARH,AAP,0,0.0,6 Crore+,DELHI,Post Graduate
SUAR,SP,43,30000000.0,0,UTTAR PRADESH,Post Graduate
KATANGI,BJP,0,40000000.0,17 Lac+,MADHYA PRADESH,Post Graduate
BALURGHAT,BJP,0,70000000.0,0,WEST BENGAL,Doctorate
MANGALAGIRI,YSRCP,7,240000000.0,5 Crore+,ANDHRA PRADESH,12th Pass
NAZIRA,INC,1,50000000.0,1 Crore+,ASSAM,Graduate
NARANPURA,BJP,0,0.0,23 Lac+,GUJARAT,12th Pass
BARDHAMAN UTTAR (SC),AITC,4,2600000.0,7 Lac+,WEST BENGAL,10th Pass
HISUA,INC,7,40000000.0,3 Lac+,BIHAR,Graduate
BAJPUR (SC),INC,1,100000000.0,0,UTTARAKHAND,Graduate
KANKER (ST),BJP,1,7400000.0,0,CHHATTISGARH,Graduate
FIROZPUR RURAL (SC),AAP,0,4500000.0,0,PUNJAB,Graduate Professional
SARDULGARH,AAP,1,20000000.0,23 Lac+,PUNJAB,Graduate Professional
MANOHARPUR (ST),JMM,0,0.0,4 Lac+,JHARKHAND,10th Pass
WANGKHEI,JD(U),0,20000000.0,1 Crore+,MANIPUR,Graduate Professional
BARHAJ,BJP,0,10000000.0,0,UTTAR PRADESH,Post Graduate
PERAMBALUR (SC),DMK,6,30000000.0,1 Crore+,TAMIL NADU,Post Graduate
RISHIVANDIYAM,DMK,34,150000000.0,4 Crore+,TAMIL NADU,Graduate Professional
TALDANGRA,AITC,0,80000000.0,3 Crore+,WEST BENGAL,Graduate Professional
AMGAON (ST),INC,1,50000000.0,18 Lac+,MAHARASHTRA,Graduate
PATHARPRATIMA,AITC,2,9500000.0,5 Lac+,WEST BENGAL,Post Graduate
GONDAL,BJP,0,0.0,7 Lac+,GUJARAT,10th Pass
NYAPIN,BJP,0,0.0,0,ARUNACHAL PRADESH,12th Pass
ROHRU (SC),INC,3,20000000.0,17 Lac+,HIMACHAL PRADESH,Graduate Professional
MAHUVA,BJP,0,20000000.0,20 Lac+,GUJARAT,8th Pass
ETCHERLA,YSRCP,4,30000000.0,6 Lac+,ANDHRA PRADESH,Post Graduate
KADIRI,YSRCP,2,70000000.0,1 Crore+,ANDHRA PRADESH,Post Graduate
KESHORAIPATAN (SC),INC,0,10000000.0,3 Lac+,RAJASTHAN,Graduate
MADHUGIRI,INC,0,350000000.0,12 Crore+,KARNATAKA,Graduate Professional
CHANCHAL,AITC,2,0.0,0,WEST BENGAL,12th Pass
JAORA,BJP,0,30000000.0,26 Lac+,MADHYA PRADESH,Post Graduate
DADRAUL,BJP,0,30000000.0,17 Lac+,UTTAR PRADESH,Graduate Professional
KALYANPUR,RJD,2,20000000.0,16 Lac+,BIHAR,Graduate
AKALTARA,INC,0,140000000.0,61 Lac+,CHHATTISGARH,Graduate Professional
GONDA,BJP,0,100000000.0,3 Crore+,UTTAR PRADESH,Graduate Professional
KIDWAI NAGAR,BJP,0,80000000.0,0,UTTAR PRADESH,Graduate
PRATHIPADU,YSRCP,0,10000000.0,29 Lac+,ANDHRA PRADESH,10th Pass
WARISNAGAR,JD(U),0,70000000.0,0,BIHAR,Graduate
CHOHTAN (SC),BJP,0,70000000.0,30 Lac+,RAJASTHAN,10th Pass
NELLORE RURAL,YSRCP,3,10000000.0,43 Thou+,ANDHRA PRADESH,12th Pass
RANPUR,BJD,1,40000000.0,40 Lac+,ODISHA,Graduate Professional
TIRUCHENGODU,DMK,5,400000000.0,17 Crore+,TAMIL NADU,Graduate Professional
SANTIPUR,BJP,4,10000000.0,18 Lac+,WEST BENGAL,Graduate
NAMSANG,BJP,0,50000000.0,0,ARUNACHAL PRADESH,Post Graduate
LANJI,BJP,0,80000000.0,0,MADHYA PRADESH,Graduate Professional
BARCHALLA,BJP,0,10000000.0,7 Lac+,ASSAM,Post Graduate
MATIALA,AAP,11,50000000.0,5 Lac+,DELHI,12th Pass
CHORYASI,BJP,0,90000000.0,17 Lac+,GUJARAT,12th Pass
BARASAT,AITC,0,50000000.0,8 Lac+,WEST BENGAL,12th Pass
LADNUN,INC,4,8700000.0,20 Lac+,RAJASTHAN,Post Graduate
THOWRA,INC,0,20000000.0,0,ASSAM,Graduate
CANNING PASCHIM (SC),AITC,9,5600000.0,15 Lac+,WEST BENGAL,12th Pass
DHAKUAKHANA (ST),BJP,0,250000000.0,4 Crore+,ASSAM,12th Pass
UDMA,CPI(M),5,9500000.0,14 Lac+,KERALA,Graduate Professional
SAVNER,INC,4,40000000.0,0,MAHARASHTRA,Post Graduate
BADWAHA,BJP,0,30000000.0,11 Lac+,MADHYA PRADESH,12th Pass
SHIVPUR,BJP,2,20000000.0,0,UTTAR PRADESH,Post Graduate
ATTARI (SC),AAP,0,20000000.0,4 Lac+,PUNJAB,Post Graduate
MAGATHANE,SHS,1,330000000.0,0,MAHARASHTRA,Graduate
PUNE CANTONMENT (SC),BJP,1,30000000.0,1 Crore+,MAHARASHTRA,8th Pass
KEOTI,BJP,0,50000000.0,49 Lac+,BIHAR,Doctorate
HINDAUN (SC),INC,0,0.0,13 Lac+,RAJASTHAN,12th Pass
AMBASSA (ST),Tipra Motha Party,0,10000000.0,0,TRIPURA,Post Graduate
KUMARGANJ,AITC,1,8500000.0,0,WEST BENGAL,Graduate
PEDDAPURAM,TDP,0,10000000.0,16 Lac+,ANDHRA PRADESH,Graduate
ALLAGADDA,YSRCP,1,10000000.0,75 Lac+,ANDHRA PRADESH,Graduate
TARIKERE,INC,0,150000000.0,95 Lac+,KARNATAKA,Graduate Professional
VEMURU (SC),YSRCP,2,50000000.0,3 Crore+,ANDHRA PRADESH,Doctorate
HAGARIBOMMANAHALLI (SC),JD(S),3,100000000.0,2 Crore+,KARNATAKA,Graduate
POLAVARAM,YSRCP,2,10000000.0,39 Lac+,ANDHRA PRADESH,12th Pass
KOPRI-PACHPAKHADI,SHS,18,0.0,3 Crore+,MAHARASHTRA,10th Pass
BHIM,BJP,0,20000000.0,23 Lac+,RAJASTHAN,Graduate
LUCKNOW CANTT.,BJP,0,100000000.0,0,UTTAR PRADESH,Graduate Professional
AMBEGAON,NCP,1,50000000.0,1 Crore+,MAHARASHTRA,Post Graduate
RISHIKESH,BJP,0,50000000.0,0,UTTARAKHAND,Post Graduate
GANGAPUR,BJP,0,90000000.0,3 Crore+,MAHARASHTRA,Post Graduate
SONIPAT,INC,0,270000000.0,7 Crore+,HARYANA,12th Pass
DEOLALI (SC),NCP,0,10000000.0,18 Lac+,MAHARASHTRA,10th Pass
KHARGONE,BJP,0,60000000.0,30 Lac+,MADHYA PRADESH,10th Pass
DATAGANJ,BJP,0,240000000.0,1 Crore+,UTTAR PRADESH,Post Graduate
BILASPUR,BJP,0,0.0,3 Crore+,CHHATTISGARH,Graduate
PANERY,BJP,0,30000000.0,0,ASSAM,Post Graduate
MANAWAR (ST),INC,1,20000000.0,48 Lac+,MADHYA PRADESH,Post Graduate
VATVA,BJP,0,10000000.0,31 Lac+,GUJARAT,10th Pass
GHATOL (ST),INC,0,10000000.0,0,RAJASTHAN,8th Pass
DHOLANA,BJP,1,100000000.0,0,UTTAR PRADESH,Post Graduate
RANEBENNUR,INC,0,640000000.0,3 Crore+,KARNATAKA,Graduate Professional
HAIDERGARH (SC),BJP,0,6700000.0,9 Lac+,UTTAR PRADESH,12th Pass
TAMKUHI RAJ,BJP,1,270000000.0,5 Crore+,UTTAR PRADESH,Post Graduate
KARMALA,IND,1,520000000.0,13 Crore+,MAHARASHTRA,Graduate
PAMGARH (SC),INC,0,40000000.0,0,CHHATTISGARH,Graduate
KOTA SOUTH,BJP,0,50000000.0,1 Crore+,RAJASTHAN,Graduate
TALSARA,BJP,0,2300000.0,0,ODISHA,12th Pass
MALVIYA NAGAR,BJP,1,110000000.0,1 Crore+,RAJASTHAN,Post Graduate
KABISURYANAGAR,BJD,0,10000000.0,98 Thou+,ODISHA,Post Graduate
DAVANAGERE SOUTH,INC,1,3120000000.0,17 Crore+,KARNATAKA,12th Pass
MAGRAHAT PASCHIM,AITC,0,10000000.0,63 Lac+,WEST BENGAL,8th Pass
YAMKESHWAR,BJP,0,7200000.0,0,UTTARAKHAND,12th Pass
THANJAVUR,DMK,5,9600000.0,1 Lac+,TAMIL NADU,8th Pass
BALLABGARH,BJP,0,120000000.0,47 Lac+,HARYANA,Post Graduate
ASARWA (SC),BJP,0,20000000.0,63 Lac+,GUJARAT,Graduate
PALWAL,BJP,0,220000000.0,1 Crore+,HARYANA,Graduate Professional
KHANDAPADA,BJD,19,300000000.0,3 Crore+,ODISHA,Post Graduate
KOTTARAKKARA,CPI(M),1,9100000.0,20 Lac+,KERALA,Post Graduate
KISHANGANJ (ST),BJP,0,10000000.0,8 Lac+,RAJASTHAN,Post Graduate
RAJINDER NAGAR,AAP,0,1900000.0,0,DELHI,Graduate
CHIRAYINKEEZHU,CPI,1,6100000.0,10 Lac+,KERALA,Graduate Professional
MAVLI,INC,0,20000000.0,8 Lac+,RAJASTHAN,10th Pass
MODI NAGAR,BJP,0,130000000.0,85 Lac+,UTTAR PRADESH,Graduate
SHIRALA,NCP,1,250000000.0,94 Lac+,MAHARASHTRA,12th Pass
TALIHA,BJP,0,1100000.0,0,ARUNACHAL PRADESH,Graduate
MEERA BHAYANDAR,IND,2,700000000.0,11 Crore+,MAHARASHTRA,12th Pass
SINGUR,AITC,1,20000000.0,13 Lac+,WEST BENGAL,Graduate
VADGAON SHERI,NCP,3,490000000.0,1 Crore+,MAHARASHTRA,12th Pass
CHUNCHURA,AITC,1,20000000.0,0,WEST BENGAL,Post Graduate
SAGRI,SP,0,160000000.0,2 Crore+,UTTAR PRADESH,Graduate
HANDIA,SP,3,30000000.0,87 Lac+,UTTAR PRADESH,Graduate
MIAO,BJP,0,60000000.0,0,ARUNACHAL PRADESH,Post Graduate
MEERUT SOUTH,BJP,2,60000000.0,63 Lac+,UTTAR PRADESH,Graduate
LUNI,BJP,0,70000000.0,16 Lac+,RAJASTHAN,Graduate
LAKSHMIPUR,BJD,0,4000000.0,0,ODISHA,Graduate
LIMKHEDA (ST),BJP,0,10000000.0,28 Lac+,GUJARAT,Graduate Professional
SALEM SOUTH,AIADMK,0,30000000.0,39 Lac+,TAMIL NADU,Graduate Professional
SATGACHHIA,AITC,0,2500000.0,0,WEST BENGAL,Graduate
KANPUR CANTT.,SP,0,20000000.0,9 Lac+,UTTAR PRADESH,Post Graduate
MAHIM,SHS,4,250000000.0,2 Crore+,MAHARASHTRA,10th Pass
ULUNDURPETTAI,DMK,4,50000000.0,74 Lac+,TAMIL NADU,Post Graduate
PACHHAD (SC),BJP,0,0.0,42 Lac+,HIMACHAL PRADESH,Graduate
SOMNATH,INC,1,20000000.0,12 Lac+,GUJARAT,Graduate Professional
NAGERCOIL,BJP,0,5000000.0,0,TAMIL NADU,Graduate
MANPUR (ST),BJP,0,0.0,32 Lac+,MADHYA PRADESH,Graduate
HUSSAINABAD,NCP,3,30000000.0,2 Crore+,JHARKHAND,12th Pass
DHAUHANI (ST),BJP,1,10000000.0,31 Lac+,MADHYA PRADESH,Graduate
ALLAHABAD SOUTH,BJP,7,370000000.0,5 Crore+,UTTAR PRADESH,Graduate
